name,href,uri,popularity,album_name,release_date,album_uri,artist_name,artist_uri,genres,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
Oriana,https://api.spotify.com/v1/tracks/3JxhxXiiNwYnkT0f9KxQSp,spotify:track:3JxhxXiiNwYnkT0f9KxQSp,33,Oriana,2018-01-08,spotify:album:4HkJY32VqysPCNIrcYe46J,Roger Zarzour,spotify:artist:7CGrRQY8pl3vY1wqoF4WMZ,[],0.592,0.937,0.0366,0.0428,0.0013,0.141,0.402
The End Again,https://api.spotify.com/v1/tracks/5zEWidjnJfe67h5XhY9yko,spotify:track:5zEWidjnJfe67h5XhY9yko,9,The End Again,2019-10-17,spotify:album:1jOQmvAKlKoTAO04PX7IL4,The Old Dead Tree,spotify:artist:1UztxAFwIMRgVVNdQ54iqg,['french metal'],0.313,0.479,0.0338,0.109,0.0804,0.103,0.12
Cradles,https://api.spotify.com/v1/tracks/1y4jsQt7MjnZhiD1L6qFBC,spotify:track:1y4jsQt7MjnZhiD1L6qFBC,18,Cradles,2019-01-04,spotify:album:2fLkonSk9cVovvnRKKYtk5,Sub Urban,spotify:artist:7gXb99Sf9nNmpNYeAgIQFG,"['modern indie pop', 'viral rap']",0.534,0.589,0.325,0.256,6.02e-05,0.176,0.632
West Coast,https://api.spotify.com/v1/tracks/0sBJA2OCEECMs0HsdIQhvR,spotify:track:0sBJA2OCEECMs0HsdIQhvR,76,West Coast,2022-02-25,spotify:album:1EM2RddQo9GGjrCsE1bk7a,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop', 'pop rock']",0.685,0.699,0.0349,0.317,0,0.0895,0.884
KEEP IT UP,https://api.spotify.com/v1/tracks/1dxqk42KIlMyrSawZ5YjBE,spotify:track:1dxqk42KIlMyrSawZ5YjBE,65,WHO CARES?,2022-03-11,spotify:album:2yI4m5Yu2tl8v0It5P9WVz,Rex Orange County,spotify:artist:7pbDxGE6nQSZVfiFdq9lOL,"['bedroom pop', 'pop']",0.708,0.477,0.0565,0.292,1.75e-06,0.255,0.733
World's Smallest Violin,https://api.spotify.com/v1/tracks/3jHBgKdLCf46aP3HRI0WYv,spotify:track:3jHBgKdLCf46aP3HRI0WYv,78,OK ORCHESTRA,2021-03-26,spotify:album:1y2AzG31F4CuCKQ1rpIzaI,AJR,spotify:artist:6s22t5Y3prQHyaHWUN1R1C,['modern rock'],0.68,0.696,0.051,0.116,0,0.607,0.684
Die Hard,https://api.spotify.com/v1/tracks/6gI9b2VsoWhjhIuIeToDVs,spotify:track:6gI9b2VsoWhjhIuIeToDVs,40,Mr. Morale & The Big Steppers,2022-05-13,spotify:album:1atjqOZTCdrjxjMyCPZc2g,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.775,0.736,0.247,0.319,0.00116,0.127,0.362
16,https://api.spotify.com/v1/tracks/50lTDu2BnjyqWnUFsxMryJ,spotify:track:50lTDu2BnjyqWnUFsxMryJ,60,The Melodic Blue,2021-09-22,spotify:album:7n23fjZTviIUnHyvZGQjni,Baby Keem,spotify:artist:5SXuuuRpukkTvsLuUknva1,"['hip hop', 'rap']",0.703,0.78,0.139,0.0913,1.85e-06,0.124,0.567
APOLOGIZE,https://api.spotify.com/v1/tracks/4MQIDIQjNWkUvpXe5Je7TO,spotify:track:4MQIDIQjNWkUvpXe5Je7TO,65,DIE FOR MY BITCH,2019-07-19,spotify:album:7Cw4LObzgnVqSlkuIyywtI,Baby Keem,spotify:artist:5SXuuuRpukkTvsLuUknva1,"['hip hop', 'rap']",0.756,0.429,0.0295,0.0101,0.000589,0.153,0.092
Headlines,https://api.spotify.com/v1/tracks/6LxSe8YmdPxy095Ux6znaQ,spotify:track:6LxSe8YmdPxy095Ux6znaQ,77,Take Care (Deluxe),2011-11-15,spotify:album:6X1x82kppWZmDzlXXK3y3q,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.636,0.566,0.106,0.365,0.000353,0.0917,0.425
out for the night,https://api.spotify.com/v1/tracks/0ZKKJTv21zJpNrKiL0LYyV,spotify:track:0ZKKJTv21zJpNrKiL0LYyV,59,i am > i was,2018-12-21,spotify:album:007DWn799UWvfY1wwZeENR,21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'rap', 'trap']",0.841,0.695,0.415,0.001,4.26e-05,0.189,0.408
"Shook Ones, Pt. II",https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD,spotify:track:33ZXjLCpiINn8eQIDYEPTD,76,The Infamous,1995-04-25,spotify:album:1cCAb1vN8uUsdfEylVmTLs,Mobb Deep,spotify:artist:6O2zJ0tId7g07yzHtX0yap,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",0.763,0.786,0.229,0.0146,0.0114,0.0817,0.504
